title,description,required_skills,category,experience_level,salary_range
Software Engineer,"Design, develop, and maintain software applications. Write clean, scalable code using modern programming practices. Collaborate with cross-functional teams to define and ship new features.","Python,Java,JavaScript,SQL,Git,Data Structures,Algorithms,REST APIs,Agile",Engineering,Entry-Mid,"$70,000-$120,000"
Frontend Developer,"Build responsive and interactive web applications using modern frontend frameworks. Optimize applications for maximum speed and scalability. Collaborate with UI/UX designers.","HTML,CSS,JavaScript,React,TypeScript,Redux,Webpack,Responsive Design,Git",Engineering,Entry-Mid,"$65,000-$110,000"
Backend Developer,"Design and implement server-side logic, APIs, and database schemas. Ensure high performance and responsiveness of applications. Integrate frontend elements with server-side logic.","Python,Java,Node.js,SQL,PostgreSQL,MongoDB,REST APIs,Docker,Microservices,Git",Engineering,Mid-Senior,"$80,000-$140,000"
Full Stack Developer,"Develop both client-side and server-side applications. Design and manage databases, build APIs, and create user-facing features. Handle deployment and DevOps tasks.","JavaScript,React,Node.js,Python,SQL,MongoDB,Docker,AWS,Git,HTML,CSS",Engineering,Mid,"$75,000-$130,000"
Data Scientist,"Analyze large datasets to extract actionable insights. Build predictive models using machine learning algorithms. Communicate findings to stakeholders through visualizations.","Python,R,SQL,Machine Learning,TensorFlow,Pandas,NumPy,Statistics,Data Visualization,Scikit-learn",Data Science,Mid-Senior,"$90,000-$150,000"
Machine Learning Engineer,"Design and deploy machine learning models at scale. Optimize model performance and integrate ML pipelines into production systems. Research and implement new ML techniques.","Python,TensorFlow,PyTorch,Scikit-learn,Deep Learning,NLP,Computer Vision,Docker,AWS,MLOps",Data Science,Senior,"$100,000-$170,000"
Data Analyst,"Collect, process, and analyze data to support business decisions. Create dashboards and reports. Identify trends and patterns in complex datasets.","SQL,Excel,Python,Tableau,Power BI,Statistics,Data Visualization,Pandas,ETL",Data Science,Entry-Mid,"$55,000-$90,000"
DevOps Engineer,"Implement and manage CI/CD pipelines. Automate infrastructure provisioning and deployment. Monitor system performance and ensure high availability.","Docker,Kubernetes,AWS,Azure,Jenkins,Terraform,Linux,Bash,Python,CI/CD,Ansible",Engineering,Mid-Senior,"$85,000-$145,000"
Cloud Architect,"Design and implement cloud infrastructure solutions. Optimize cloud costs and performance. Lead cloud migration projects and ensure security compliance.","AWS,Azure,GCP,Terraform,Docker,Kubernetes,Networking,Security,Python,Microservices",Engineering,Senior,"$120,000-$180,000"
Cybersecurity Analyst,"Monitor and protect systems against cyber threats. Conduct vulnerability assessments and penetration testing. Develop security policies and incident response plans.","Network Security,Penetration Testing,SIEM,Firewalls,Linux,Python,Incident Response,Compliance,Cryptography",Security,Mid,"$75,000-$120,000"
Mobile App Developer,"Design and build mobile applications for iOS and Android. Optimize applications for performance and responsiveness. Collaborate with backend teams for API integration.","Swift,Kotlin,React Native,Flutter,Java,Firebase,REST APIs,Git,UI/UX,Mobile Development",Engineering,Mid,"$70,000-$125,000"
UI/UX Designer,"Create user-centered designs for web and mobile applications. Conduct user research and usability testing. Design wireframes, prototypes, and high-fidelity mockups.","Figma,Adobe XD,Sketch,User Research,Wireframing,Prototyping,HTML,CSS,Design Thinking,Usability Testing",Design,Entry-Mid,"$60,000-$100,000"
Product Manager,"Define product strategy and roadmap. Gather and prioritize product requirements. Work closely with engineering, design, and marketing teams to deliver features.","Product Strategy,Agile,Scrum,Data Analysis,User Research,Roadmapping,JIRA,Communication,Leadership,SQL",Management,Mid-Senior,"$90,000-$150,000"
Database Administrator,"Install, configure, and maintain database systems. Optimize database performance and ensure data integrity. Implement backup and recovery strategies.","SQL,PostgreSQL,MySQL,MongoDB,Oracle,Database Design,Performance Tuning,Backup Recovery,Linux,Python",Engineering,Mid,"$70,000-$115,000"
QA Engineer,"Design and execute test plans and test cases. Develop automated testing frameworks. Report and track bugs to ensure product quality.","Selenium,Python,Java,Test Automation,Manual Testing,JIRA,API Testing,Performance Testing,CI/CD,Git",Engineering,Entry-Mid,"$60,000-$100,000"
Business Analyst,"Analyze business processes and requirements. Create functional specifications and documentation. Bridge the gap between business stakeholders and technical teams.","Requirements Analysis,SQL,Excel,Power BI,Tableau,JIRA,Agile,Communication,Documentation,Data Analysis",Business,Entry-Mid,"$55,000-$95,000"
AI Research Scientist,"Conduct research in artificial intelligence and machine learning. Publish papers and present findings at conferences. Develop novel algorithms and architectures.","Python,PyTorch,TensorFlow,Deep Learning,NLP,Computer Vision,Mathematics,Research,Statistics,Publications",Research,Senior,"$110,000-$180,000"
Blockchain Developer,"Develop smart contracts and decentralized applications. Design and implement blockchain protocols. Audit smart contract security and optimize gas usage.","Solidity,Ethereum,Web3.js,Smart Contracts,Cryptography,JavaScript,Python,DeFi,NFT,Security",Engineering,Mid-Senior,"$90,000-$160,000"
Game Developer,"Design and develop video games. Implement game mechanics, physics, and AI. Optimize game performance across different platforms.","Unity,C#,Unreal Engine,C++,Game Design,3D Modeling,Physics,AI,Graphics Programming,Git",Engineering,Mid,"$65,000-$120,000"
Systems Administrator,"Manage and maintain IT infrastructure. Configure servers, networks, and storage systems. Troubleshoot hardware and software issues.","Linux,Windows Server,Networking,Bash,PowerShell,VMware,Active Directory,DNS,DHCP,Monitoring",IT,Entry-Mid,"$55,000-$90,000"
Technical Writer,"Create technical documentation, user guides, and API references. Simplify complex technical concepts for diverse audiences. Collaborate with developers and product teams.","Technical Writing,Documentation,Markdown,API Documentation,JIRA,Git,Communication,Content Strategy,HTML,Editing",Content,Entry-Mid,"$50,000-$85,000"
Site Reliability Engineer,"Ensure system reliability and uptime. Implement monitoring and alerting systems. Automate operational tasks and incident response.","Linux,Python,Kubernetes,Docker,AWS,Prometheus,Grafana,CI/CD,Terraform,Incident Management",Engineering,Senior,"$100,000-$160,000"
Data Engineer,"Design and build data pipelines and ETL processes. Manage data warehouses and lakes. Ensure data quality and accessibility for analytics teams.","SQL,Python,Apache Spark,Airflow,AWS,Kafka,ETL,Data Warehousing,PostgreSQL,Docker",Data Science,Mid-Senior,"$85,000-$140,000"
NLP Engineer,"Develop natural language processing models and systems. Build text classification, sentiment analysis, and chatbot solutions. Optimize NLP pipelines for production.","Python,NLP,BERT,Transformers,spaCy,NLTK,Deep Learning,TensorFlow,PyTorch,Hugging Face",Data Science,Mid-Senior,"$95,000-$155,000"
Computer Vision Engineer,"Develop image and video analysis systems. Build object detection, segmentation, and recognition models. Deploy CV solutions in production environments.","Python,OpenCV,TensorFlow,PyTorch,Computer Vision,Deep Learning,CNN,Image Processing,CUDA,Docker",Data Science,Mid-Senior,"$95,000-$155,000"
Embedded Systems Engineer,"Design and develop firmware for embedded systems. Program microcontrollers and interface with hardware. Optimize code for resource-constrained environments.","C,C++,Embedded Systems,RTOS,Microcontrollers,Arduino,Raspberry Pi,IoT,Hardware,Assembly",Engineering,Mid,"$75,000-$120,000"
Network Engineer,"Design and implement computer networks. Configure routers, switches, and firewalls. Monitor network performance and troubleshoot issues.","Networking,Cisco,TCP/IP,Firewalls,VPN,DNS,DHCP,Linux,Monitoring,Security",IT,Mid,"$65,000-$110,000"
Scrum Master,"Facilitate Scrum ceremonies and remove team impediments. Coach teams on Agile best practices. Track sprint metrics and team velocity.","Scrum,Agile,JIRA,Kanban,Coaching,Communication,Leadership,Sprint Planning,Retrospectives,Facilitation",Management,Mid,"$80,000-$120,000"
Project Manager,"Plan, execute, and close projects on time and within budget. Manage project scope, schedule, and resources. Communicate project status to stakeholders.","Project Management,Agile,JIRA,MS Project,Communication,Leadership,Risk Management,Budgeting,Scheduling,Documentation",Management,Mid-Senior,"$75,000-$130,000"
Solutions Architect,"Design end-to-end technical solutions for business problems. Evaluate and recommend technologies. Create architecture diagrams and technical specifications.","AWS,Azure,System Design,Microservices,API Design,Docker,Kubernetes,Security,Python,Communication",Engineering,Senior,"$110,000-$170,000"
Marketing Analyst,"Analyze marketing campaigns and customer data. Track KPIs and ROI metrics. Provide data-driven recommendations for marketing strategy.","Google Analytics,SQL,Excel,Python,SEO,SEM,Social Media Analytics,A/B Testing,Tableau,Marketing Strategy",Marketing,Entry-Mid,"$50,000-$85,000"
Digital Marketing Specialist,"Plan and execute digital marketing campaigns. Manage social media, email, and content marketing. Analyze campaign performance and optimize strategies.","SEO,SEM,Google Ads,Social Media,Content Marketing,Email Marketing,Google Analytics,Copywriting,Canva,Marketing Strategy",Marketing,Entry-Mid,"$45,000-$75,000"
Financial Analyst,"Analyze financial data and create forecasting models. Prepare financial reports and presentations. Support investment decisions and budget planning.","Excel,Financial Modeling,SQL,Python,Power BI,Accounting,Budgeting,Forecasting,Valuation,Communication",Finance,Entry-Mid,"$60,000-$100,000"
HR Manager,"Manage recruitment, onboarding, and employee relations. Develop HR policies and programs. Handle performance management and compensation planning.","Recruitment,Employee Relations,HR Policies,Payroll,Compliance,HRIS,Communication,Leadership,Training,Onboarding",HR,Mid-Senior,"$65,000-$110,000"
Content Strategist,"Develop content strategies aligned with business goals. Create editorial calendars and manage content production. Analyze content performance and optimize for engagement.","Content Strategy,SEO,Copywriting,Analytics,Social Media,CMS,Marketing,Communication,Editing,Content Marketing",Content,Mid,"$55,000-$90,000"
Graphic Designer,"Create visual designs for digital and print media. Design logos, illustrations, and marketing materials. Maintain brand consistency across all touchpoints.","Adobe Photoshop,Illustrator,InDesign,Figma,Typography,Branding,Visual Design,Color Theory,Print Design,Digital Design",Design,Entry-Mid,"$45,000-$80,000"
Sales Engineer,"Provide technical expertise during the sales process. Create product demos and presentations. Support customer onboarding and technical evaluations.","Communication,Technical Knowledge,Presentations,CRM,Product Knowledge,Problem Solving,Negotiation,API Knowledge,SQL,Customer Relations",Sales,Mid,"$75,000-$130,000"
Research Analyst,"Conduct research and analysis to support decision-making. Compile reports and white papers. Monitor industry trends and competitive landscape.","Research,Data Analysis,Excel,PowerPoint,Writing,Statistics,Critical Thinking,Communication,SQL,Literature Review",Research,Entry-Mid,"$50,000-$80,000"
Operations Manager,"Oversee daily business operations and optimize processes. Manage budgets, resources, and personnel. Implement efficiency improvements and quality standards.","Operations Management,Process Improvement,Budgeting,Leadership,Six Sigma,Excel,Communication,Project Management,Vendor Management,Analytics",Operations,Mid-Senior,"$70,000-$120,000"
Biomedical Engineer,"Design and develop medical devices and equipment. Conduct research to solve clinical problems. Ensure compliance with regulatory standards.","MATLAB,Python,Medical Devices,FDA Regulations,CAD,Biomechanics,Signal Processing,R&D,Quality Assurance,Documentation",Engineering,Mid,"$65,000-$110,000"
Environmental Scientist,"Conduct environmental impact assessments and studies. Collect and analyze environmental data. Develop strategies for environmental protection and sustainability.","Environmental Science,GIS,Data Analysis,R,Python,Environmental Regulations,Field Research,Report Writing,Statistics,Sustainability",Science,Mid,"$55,000-$90,000"
Supply Chain Analyst,"Analyze supply chain operations and optimize logistics. Forecast demand and manage inventory levels. Implement supply chain management tools and processes.","Supply Chain Management,Excel,SQL,SAP,Logistics,Forecasting,Inventory Management,Data Analysis,Process Improvement,ERP",Operations,Entry-Mid,"$55,000-$85,000"
Technical Support Engineer,"Provide technical support and troubleshooting for products. Escalate complex issues and track resolutions. Create knowledge base articles and documentation.","Troubleshooting,Networking,Linux,Windows,Communication,Ticketing Systems,Documentation,Customer Service,SQL,Cloud Services",IT,Entry,"$45,000-$70,000"
Robotics Engineer,"Design and develop robotic systems and automation solutions. Program robot controllers and integrate sensors. Test and debug robotic systems.","Python,C++,ROS,Computer Vision,Control Systems,Embedded Systems,MATLAB,Robotics,Sensors,Machine Learning",Engineering,Mid-Senior,"$85,000-$140,000"
Bioinformatics Scientist,"Analyze biological data using computational methods. Develop tools for genomic and proteomic analysis. Collaborate with experimentalists on data interpretation.","Python,R,Bioinformatics,Genomics,Statistics,Machine Learning,Linux,Databases,Data Visualization,Research",Science,Mid-Senior,"$80,000-$130,000"
Penetration Tester,"Conduct authorized attacks to identify security vulnerabilities. Report findings and recommend remediation. Stay current with emerging threats and attack techniques.","Penetration Testing,Kali Linux,Burp Suite,Python,Network Security,Web Security,OWASP,Metasploit,Scripting,Report Writing",Security,Mid,"$80,000-$130,000"
Cloud Engineer,"Deploy and manage cloud-based infrastructure. Implement automation for cloud operations. Optimize cloud costs and ensure security best practices.","AWS,Azure,GCP,Terraform,Docker,Kubernetes,Linux,Python,Networking,CI/CD",Engineering,Mid,"$80,000-$135,000"
Firmware Engineer,"Develop firmware for consumer and industrial products. Debug hardware-software integration issues. Optimize code for real-time performance.","C,C++,Embedded C,RTOS,Microcontrollers,Debugging,JTAG,SPI,I2C,Assembly",Engineering,Mid,"$80,000-$125,000"
UX Researcher,"Plan and conduct user research studies. Analyze qualitative and quantitative user data. Translate research findings into actionable design recommendations.","User Research,Usability Testing,Survey Design,Data Analysis,Interviewing,Personas,Journey Mapping,A/B Testing,Communication,Prototyping",Design,Mid,"$70,000-$110,000"
IT Consultant,"Advise organizations on technology strategy and implementation. Assess IT infrastructure and recommend improvements. Manage technology transformation projects.","IT Strategy,Cloud Computing,ERP,Project Management,Communication,Business Analysis,Security,Networking,Leadership,Documentation",IT,Mid-Senior,"$80,000-$140,000"
